

------------------------------------------------------------
Application started
08:50:54.319: (I) 13732: main::lambda()                          : Internet STATUS: false
09:03:07.668: (I) 13732: main::lambda()                          : Internet STATUS: false
09:03:08.203: (I) 13732: main::lambda()                          : Internet STATUS: true
09:08:47.591: (I) 13732: main::lambda()                          : Internet STATUS: false
12:22:08.082: (I) 13732: main::lambda()                          : Internet STATUS: true
12:45:25.190: (I) 13732: main::lambda()                          : Internet STATUS: false
12:45:28.455: (I) 13732: main::lambda()                          : Internet STATUS: false
12:45:28.997: (I) 13732: main::lambda()                          : Internet STATUS: true
12:50:14.688: (I) 13732: main::lambda()                          : Internet STATUS: false
12:51:27.495: (I) 13732: main::lambda()                          : Internet STATUS: false
12:51:28.029: (I) 13732: main::lambda()                          : Internet STATUS: true
12:55:44.360: (I) 13732: main::lambda()                          : Internet STATUS: false
12:55:44.360: (I) 13732: main::lambda()                          : Internet STATUS: false
16:07:25.989: (I) 13732: main::lambda()                          : Internet STATUS: true
23:14:26.933: (I) 13732: main::lambda()                          : Internet STATUS: false
23:14:29.255: (I) 13732: main::lambda()                          : Internet STATUS: false
23:14:33.967: (I) 13732: main::lambda()                          : Internet STATUS: true
23:20:34.754: (I) 13732: main::lambda()                          : Internet STATUS: false
23:20:35.883: (I) 13732: main::lambda()                          : Internet STATUS: false
23:20:36.510: (I) 13732: main::lambda()                          : Internet STATUS: true
23:23:57.490: (I) 13732: main::lambda()                          : Internet STATUS: false
23:23:57.490: (I) 13732: main::lambda()                          : Internet STATUS: false
23:23:58.309: (I) 13732: main::lambda()                          : Internet STATUS: false
23:24:01.140: (I) 13732: main::lambda()                          : Internet STATUS: true
03:50:04.384: (I) 13732: main::lambda()                          : Internet STATUS: false
03:50:04.447: (I) 13732: main::lambda()                          : Internet STATUS: true
09:32:58.197: (I) 13732: main::lambda()                          : Internet STATUS: false
09:32:59.544: (I) 13732: main::lambda()                          : Internet STATUS: false
09:33:00.189: (I) 13732: main::lambda()                          : Internet STATUS: true
09:45:12.462: (I) 13732: main::lambda()                          : Internet STATUS: false
09:47:25.590: (I) 13732: main::lambda()                          : Internet STATUS: false
09:47:26.168: (I) 13732: main::lambda()                          : Internet STATUS: true
09:51:33.378: (I) 13732: main::lambda()                          : Internet STATUS: false
11:13:33.339: (I) 13732: main::lambda()                          : Internet STATUS: true
13:17:14.256: (I) 13732: main::lambda()                          : Internet STATUS: false
13:17:14.272: (I) 13732: main::lambda()                          : Internet STATUS: true
22:04:26.137: (I) 13732: main::lambda()                          : Internet STATUS: false
22:07:22.836: (I) 13732: main::lambda()                          : Internet STATUS: false
22:07:28.180: (I) 13732: main::lambda()                          : Internet STATUS: true
23:37:52.547: (I) 13732: main::lambda()                          : Internet STATUS: false
23:37:53.171: (I) 13732: main::lambda()                          : Internet STATUS: false
23:37:55.991: (I) 13732: main::lambda()                          : Internet STATUS: true
23:46:15.856: (I) 13732: main::lambda()                          : Internet STATUS: false
23:46:15.857: (I) 13732: main::lambda()                          : Internet STATUS: true
00:16:23.310: (I) 13732: main::lambda()                          : Internet STATUS: false
